Epoch 100, Loss: 0.000723
Epoch 200, Loss: 0.000174
Epoch 300, Loss: 0.000104
Epoch 400, Loss: 0.000094
Epoch 500, Loss: 0.000085
Epoch 600, Loss: 0.000076
Epoch 700, Loss: 0.000068
Epoch 800, Loss: 0.000061
Epoch 900, Loss: 0.000054
Epoch 1000, Loss: 0.000048
Epoch 1100, Loss: 0.000043
Epoch 1200, Loss: 0.000038
Epoch 1300, Loss: 0.000034
Epoch 1400, Loss: 0.000030
Epoch 1500, Loss: 0.000027
Epoch 1600, Loss: 0.000023
Epoch 1700, Loss: 0.000020
Epoch 1800, Loss: 0.000018
Epoch 1900, Loss: 0.000015
Epoch 2000, Loss: 0.000013
Epoch 2100, Loss: 0.000011
Epoch 2200, Loss: 0.000009
Epoch 2300, Loss: 0.000008
Epoch 2400, Loss: 0.000007
Epoch 2500, Loss: 0.000006
Epoch 2600, Loss: 0.000005
Epoch 2700, Loss: 0.000004
Epoch 2800, Loss: 0.000004
Epoch 2900, Loss: 0.000003
Epoch 3000, Loss: 0.000003
