Epoch 100, Loss: 0.000763
Epoch 200, Loss: 0.000752
Epoch 300, Loss: 0.000748
Epoch 400, Loss: 0.000748
Epoch 500, Loss: 0.000747
Epoch 600, Loss: 0.000746
Epoch 700, Loss: 0.000746
Epoch 800, Loss: 0.000745
Epoch 900, Loss: 0.000745
Epoch 1000, Loss: 0.000745
Epoch 1100, Loss: 0.000744
Epoch 1200, Loss: 0.000744
Epoch 1300, Loss: 0.000744
Epoch 1400, Loss: 0.000743
Epoch 1500, Loss: 0.000743
Epoch 1600, Loss: 0.000743
Epoch 1700, Loss: 0.000743
Epoch 1800, Loss: 0.000742
Epoch 1900, Loss: 0.000742
Epoch 2000, Loss: 0.000742
Epoch 2100, Loss: 0.000742
Epoch 2200, Loss: 0.000742
Epoch 2300, Loss: 0.000741
Epoch 2400, Loss: 0.000738
Epoch 2500, Loss: 0.000264
Epoch 2600, Loss: 0.000090
Epoch 2700, Loss: 0.000053
Epoch 2800, Loss: 0.000050
Epoch 2900, Loss: 0.000064
Epoch 3000, Loss: 0.000049
Epoch 3100, Loss: 0.000048
Epoch 3200, Loss: 0.000049
Epoch 3300, Loss: 0.000048
Epoch 3400, Loss: 0.000048
Epoch 3500, Loss: 0.000056
Epoch 3600, Loss: 0.000048
Epoch 3700, Loss: 0.000049
Epoch 3800, Loss: 0.000047
Epoch 3900, Loss: 0.000049
Epoch 4000, Loss: 0.000047
Epoch 4100, Loss: 0.000048
Epoch 4200, Loss: 0.000109
Epoch 4300, Loss: 0.000048
Epoch 4400, Loss: 0.000053
Epoch 4500, Loss: 0.000047
Epoch 4600, Loss: 0.000049
Epoch 4700, Loss: 0.000047
Epoch 4800, Loss: 0.000048
Epoch 4900, Loss: 0.000047
Epoch 5000, Loss: 0.000048
Epoch 5100, Loss: 0.000305
Epoch 5200, Loss: 0.000048
Epoch 5300, Loss: 0.000066
Epoch 5400, Loss: 0.000047
Epoch 5500, Loss: 0.000049
Epoch 5600, Loss: 0.000047
Epoch 5700, Loss: 0.000048
Epoch 5800, Loss: 0.000083
Epoch 5900, Loss: 0.000047
Epoch 6000, Loss: 0.000048
Epoch 6100, Loss: 0.000061
Epoch 6200, Loss: 0.000047
Epoch 6300, Loss: 0.000047
Epoch 6400, Loss: 0.000047
Epoch 6500, Loss: 0.000048
Epoch 6600, Loss: 0.000048
Epoch 6700, Loss: 0.000050
Epoch 6800, Loss: 0.000049
Epoch 6900, Loss: 0.000049
Epoch 7000, Loss: 0.000048
