Epoch 100, Loss: 0.000064
Epoch 200, Loss: 0.000046
Epoch 300, Loss: 0.000035
Epoch 400, Loss: 0.000026
Epoch 500, Loss: 0.000016
Epoch 600, Loss: 0.000010
Epoch 700, Loss: 0.000007
Epoch 800, Loss: 0.000003
Epoch 900, Loss: 0.000018
Epoch 1000, Loss: 0.000002
Epoch 1100, Loss: 0.000001
Epoch 1200, Loss: 0.000213
Epoch 1300, Loss: 0.000001
Epoch 1400, Loss: 0.000001
Epoch 1500, Loss: 0.000001
Epoch 1600, Loss: 0.000001
Epoch 1700, Loss: 0.000001
Epoch 1800, Loss: 0.000001
Epoch 1900, Loss: 0.000001
Epoch 2000, Loss: 0.000049
Epoch 2100, Loss: 0.000001
Epoch 2200, Loss: 0.000001
Epoch 2300, Loss: 0.000001
Epoch 2400, Loss: 0.000007
Epoch 2500, Loss: 0.000001
Epoch 2600, Loss: 0.000001
Epoch 2700, Loss: 0.000001
Epoch 2800, Loss: 0.000001
Epoch 2900, Loss: 0.000001
Epoch 3000, Loss: 0.000001
