Epoch 100, Loss: 0.001042
Epoch 200, Loss: 0.000594
Epoch 300, Loss: 0.000546
Epoch 400, Loss: 0.000526
Epoch 500, Loss: 0.000459
Epoch 600, Loss: 0.000284
Epoch 700, Loss: 0.000315
Epoch 800, Loss: 0.000242
Epoch 900, Loss: 0.000301
Epoch 1000, Loss: 0.000153
Epoch 1100, Loss: 0.000167
Epoch 1200, Loss: 0.000126
Epoch 1300, Loss: 0.000157
Epoch 1400, Loss: 0.000103
Epoch 1500, Loss: 0.000088
Epoch 1600, Loss: 0.000335
Epoch 1700, Loss: 0.000073
Epoch 1800, Loss: 0.000066
Epoch 1900, Loss: 0.000063
Epoch 2000, Loss: 0.000061
Epoch 2100, Loss: 0.000060
Epoch 2200, Loss: 0.000059
Epoch 2300, Loss: 0.000059
Epoch 2400, Loss: 0.000062
Epoch 2500, Loss: 0.000058
Epoch 2600, Loss: 0.000055
Epoch 2700, Loss: 0.000055
Epoch 2800, Loss: 0.000052
Epoch 2900, Loss: 0.000051
Epoch 3000, Loss: 0.000049
